File name, Name image, cell number, cluster number, cluster size um2, cluster density um-2
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_2, 1, 0.0242, 450.4819
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_2, 2, 0.0605, 439.0753
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_2, 3, 0.0242, 374.1507
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_2, 4, 0.0121, 404.3229
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_2, 5, 0.0121, 370.1443
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_2, 6, 0.0605, 372.1907
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_2, 7, 0.0121, 347.0599
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_2, 8, 0.0121, 359.0827
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_2, 9, 0.0242, 394.3728
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_2, 10, 0.0121, 378.076
